Title,MediaUrl,Description,Type,Country,Year,ExpertRating,Genres,Actors
The Dark Knight,https://drive.google.com/thumbnail?id=1VhS0YKAS8gGMLE1OHL92jKbjipYci3H4&sz=w1000,Batman affronte le Joker qui sème le chaos à Gotham City.,f,USA,2008,10.0,"Action,Crime,Drama","Christian Bale,Heath Ledger,Aaron Eckhart"
Pulp Fiction,https://drive.google.com/thumbnail?id=1FU6-RPEWwI5791fNfxlzfw2wqzH1nSsa&sz=w1000,Une équipe d'explorateurs voyage à travers un trou de ver dans l'espace.,f,USA,1994,8.0,"Crime,Drama","John Travolta,Samuel L. Jackson,Uma Thurman"
Fight Club,https://drive.google.com/thumbnail?id=1xYQWJro14bvwXa1a_U6_Zxie79-IwiWi&sz=w1000,Un insomniaque mécontent forme un club de combat souterrain avec un vendeur de savon.,f,USA,1999,9.0,"Drama","Brad Pitt,Edward Norton,Helena Bonham Carter"
Parasite,https://drive.google.com/thumbnail?id=1Rox0eQOYMhAtdg3GJXmYdRJgpsZiZ-dE&sz=w1000,Une famille pauvre s'infiltre dans une riche maison en se faisant passer pour des employés qualifiés.,f,South Korea,2019,10.0,"Drama,Thriller","Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong"
Dune (2021),https://drive.google.com/thumbnail?id=1c-nbmzy8ET5lFHVX1dEPcrOFadTbLY27&sz=w1000,Le fils d'une famille noble tente de venger ses parents sur la planète désertique Arrakis.,f,USA,2021,8.0,"Sci-Fi,Adventure","Timothée Chalamet,Rebecca Ferguson,Oscar Isaac"
Everything Everywhere All at Once,https://drive.google.com/thumbnail?id=1T1GDcGuEz6cLcBo4dXTsCLiCxgezgIEa&sz=w1000,Une femme chinoise découvre qu'elle doit sauver le multivers.,f,USA,2022,9.0,"Sci-Fi,Comedy,Drama","Michelle Yeoh,Stephanie Hsu,Ke Huy Quan"
The Batman (2022),https://drive.google.com/thumbnail?id=1vw0zOhRvjV1hNynREHHmjLtYleHDOOML&sz=w1000,Batman enquête sur un tueur en série à Gotham City.,f,USA,2022,8.0,"Action,Crime,Drama","Robert Pattinson,Zoe Kravitz,Paul Dano"
Nomadland,https://drive.google.com/thumbnail?id=15joIlN6tknJYZkjbOcWkS4aMX-oDlEqN&sz=w1000,Une femme âgée voyage à travers l'Ouest américain après avoir tout perdu.,f,USA,2021,8.0,"Drama","Frances McDormand,David Strathairn,Linda May"
Spider-Man: Across the Spider-Verse,https://drive.google.com/thumbnail?id=1f2FyflAwc66i4FGClSY3AhokgIrkSD5l&sz=w1000,Miles Morales explore le multivers avec d'autres Spider-People.,f,USA,2023,9.0,"Animation,Action,Adventure","Shameik Moore,Hailee Steinfeld,Oscar Isaac"
The Super Mario Bros. Movie,https://drive.google.com/thumbnail?id=13yWj2gJFrlCWoyGbus3LNhNxR23ATTL1&sz=w1000,Mario et Luigi doivent sauver le Royaume Champignon de Bowser.,f,USA,2023,7.0,"Animation,Adventure,Comedy","Chris Pratt,Charlie Day,Anya Taylor-Joy"
Encanto,https://m.media-amazon.com/images/M/MV5BNjE5NzA4ZDctOTJkZi00NzM0LTkwOTYtMDI4MmNkMzIxODhkXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg,Une jeune Colombienne doit sauver la magie de sa famille.,f,USA,2021,8.0,"Animation,Comedy,Family","Stephanie Beatriz,Maria Cecilia Botero,John Leguizamo"
Blade Runner 2049,https://drive.google.com/thumbnail?id=10eL87G7GyhaKkcEogOeRD8urPKpNKR-w&sz=w1000,Un nouveau blade runner découvre un secret qui pourrait plonger la société dans le chaos.,f,USA,2017,9.0,"Sci-Fi,Drama","Ryan Gosling,Harrison Ford,Ana de Armas"
The Matrix,https://drive.google.com/thumbnail?id=1vn5qIk9F4GmrilH_A-4XtFo8924ydJnX&sz=w1000,Un hacker découvre que la réalité est une simulation créée par des machines intelligentes.,f,USA,1999,10.0,"Sci-Fi,Action","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss"
Avatar: The Way of Water,https://drive.google.com/thumbnail?id=1iCdUsGVbVWL_YgDcl5SrWgzIr817B_e4&sz=w1000,Jake Sully et sa famille luttent pour protéger Pandora.,f,USA,2022,8.0,"Sci-Fi,Adventure","Sam Worthington,Zoe Saldana,Sigourney Weaver"
Joker,https://drive.google.com/thumbnail?id=1XbhlpmWRzTivuSmNsr_RUaggqYxFER9T&sz=w1000,Un comédien raté sombre dans la folie et le crime à Gotham City.,f,USA,2019,9.0,"Crime,Drama,Thriller","Joaquin Phoenix,Robert De Niro,Zazie Beetz"
The Shawshank Redemption,https://drive.google.com/thumbnail?id=1C4Q59LG6DSZCH8HBelVocUEn6xWZ5i3C&sz=w1000,Un bancier condamné à perpétuité trouve rédemption en prison.,f,USA,1994,10.0,"Drama","Tim Robbins,Morgan Freeman,Bob Gunton"
The Godfather,https://drive.google.com/thumbnail?id=1Wwt6Yje3VhxRiqO0MDQxQPGSOePhYqhJ&sz=w1000,Le patriarche d'une famille mafieuse transmet le contrôle à son fils réticent.,f,USA,1972,10.0,"Crime,Drama","Marlon Brando,Al Pacino,James Caan"
Capharnaüm,https://drive.google.com/thumbnail?id=1tRHps3x7Q56c6ifty653dVUJVFunlfY2&sz=w1000,Un garçon libanais poursuit ses parents en justice pour l'avoir mis au monde.,f,Lebanon,2018,9.0,"Drama","Zain Al Rafeea,Yordanos Shiferaw,Kawsar Al Haddad"
Wadjda,https://drive.google.com/thumbnail?id=1P48B4PmA9rXgAujFhn7l1vJmm0fDH3Bv&sz=w1000,Une jeune fille saoudienne défie les normes pour acheter un vélo.,f,Saudi Arabia,2012,8.0,"Drama","Waad Mohammed,Reem Abdullah,Abdullrahman Al Gohani"
Theeb,https://drive.google.com/thumbnail?id=1CwRrRJ51AYH3iT1gLCfE7LozRwaWBBuD&sz=w1000,Un jeune bédouin navigue dans le désert pendant la Première Guerre mondiale.,f,Jordan,2014,8.0,"Adventure,Drama,War","Jacir Eid Al-Hwietat,Hassan Mutlag Al-Maraiyeh,Jack Fox"
Maraya,https://drive.google.com/thumbnail?id=1f6jlsASE0VUyV50p9fvmdqnh6wjILZUg&sz=w1000,Série syrienne satirique abordant des thèmes sociaux et politiques.,s,Syria,1982,8.0,"Comedy,Drama","Duraid Lahham,Nihad Qali,Naila Al Atrash"
