Title,MediaUrl,Description,Type,Country,Year,ExpertRating,Genres,Actors
Breaking Bad,https://tse1.mm.bing.net/th/id/OIP.ciHchudUaNqlGAFd2viMBQHaJQ?pid=ImgDet&w=192&h=240&c=7,A chemistry teacher turns to cooking meth,s,USA,2008,9.5,"Crime,Drama,Thriller","Bryan Cranston,Aaron Paul,Anna Gunn"
Stranger Things,https://tse1.mm.bing.net/th/id/OIP.rd_MDgipZGQA1iAM8-9_8QHaK9?rs=1&pid=ImgDetMain,Kids face supernatural forces in 80s Indiana,s,USA,2016,8.7,"Sci-Fi,Drama,Mystery","Millie Bobby Brown,Finn Wolfhard,David Harbour"
Game of Thrones,https://i.pinimg.com/originals/64/85/fc/6485fc400708e3d240f61c04477ee3b2.jpg,Noble families fight for control of the Seven Kingdoms,s,USA,2011,9.3,"Fantasy,Drama,Action","Emilia Clarke,Kit Harington,Peter Dinklage"
The Office,https://tse3.mm.bing.net/th/id/OIP.mF_D9w6EhG7Y-FCaT7eLMAHaLH?rs=1&pid=ImgDetMain,A mockumentary about office life at Dunder Mifflin,s,USA,2005,8.9,"Comedy,Mockumentary","Steve Carell,Jenna Fischer,John Krasinski"
Peaky Blinders,https://tse2.mm.bing.net/th/id/OIP.siAsgcdWVoZSBphSb0LHngHaJ3?rs=1&pid=ImgDetMain,A gangster family rises to power in post-WWI Birmingham,s,UK,2013,8.8,"Crime,Drama","Cillian Murphy,Helen McCrory,Paul Anderson"
The Mandalorian,https://tse2.mm.bing.net/th/id/OIP.2r0RWeYWmXeiSl5wb4Lh6gAAAA?rs=1&pid=ImgDetMain,A bounty hunter in the Star Wars universe protects a mysterious child,s,USA,2019,8.7,"Sci-Fi,Action,Adventure","Pedro Pascal,Gina Carano,Carl Weathers"
Sherlock,https://tse4.mm.bing.net/th/id/OIP.5GRg9M4zagXU7y0bobJw-gHaLH?rs=1&pid=ImgDetMain,Modern-day adaptation of Sherlock Holmes,s,UK,2010,9.1,"Crime,Mystery,Drama","Benedict Cumberbatch,Martin Freeman,Andrew Scott"
Friends,https://i.pinimg.com/736x/03/c6/d9/03c6d90c30b1cc6a54710e87ec7333b8.jpg,Six friends navigate life and love in New York,s,USA,1994,8.9,"Comedy,Romance","Jennifer Aniston,Courteney Cox,Matthew Perry"
The Crown,https://tse4.mm.bing.net/th/id/OIP.8mP-ar6Sv0jijOiuQdx_EwHaJ4?rs=1&pid=ImgDetMain,The reign of Queen Elizabeth II,s,UK,2016,8.6,"Drama,History,Biography","Olivia Colman,Claire Foy,Matt Smith"
Better Call Saul,https://tse3.mm.bing.net/th/id/OIP.Pyrk4BVJ71nc1MBihqxvzAHaNK?rs=1&pid=ImgDetMain,The origin story of lawyer Saul Goodman,s,USA,2015,9.1,"Crime,Drama","Bob Odenkirk,Jonathan Banks,Rhea Seehorn"
